type,id,street,housenumber,flats,interpolation,shape,area,reason
way,177927234,,,,odd,open2,Downtown - Sunny Acres,interpolation-live
way,177927235,,,,odd,open2,Old University,interpolation-live
way,177927279,,,,even,open2,Onward Willow,interpolation-live
way,177927282,,,,odd,open2,Exhibition Park,interpolation-live
way,177927307,,,,even,open2,Downtown - Sunny Acres,interpolation-live
way,177927322,,,,even,open2,Waverley,interpolation-live
way,177927339,,,,odd,open2,Non-Residential - A,interpolation-live
way,177927343,,,,odd,open2,Onward Willow,interpolation-live
way,177927385,,,,odd,open2,Non-Residential - A,interpolation-live
way,177927389,,,,odd,open2,Non-Residential - A,interpolation-live
way,177927390,,,,odd,open2,Non-Residential - A,interpolation-live
way,177927395,,,,even,open2,Downtown - Sunny Acres,interpolation-live
way,177927398,,,,even,open2,Non-Residential - A,interpolation-live
way,177927424,,,,odd,open2,Downtown - Sunny Acres,interpolation-live
way,177927428,,,,even,open2,Downtown - Sunny Acres,interpolation-live
way,177927439,,,,even,open2,Onward Willow,interpolation-live
way,177927445,,,,odd,open2,Non-Residential - A,interpolation-live
way,177927466,,,,even,open2,Downtown - Sunny Acres,interpolation-live
way,177927472,,,,odd,open2,June Avenue,interpolation-live
way,177927479,,,,odd,open2,Downtown - Sunny Acres,interpolation-live
way,177927487,,,,even,open2,Onward Willow,interpolation-live
way,177927496,,,,odd,open2,June Avenue,interpolation-live
way,177927505,,,,odd,open2,Downtown - Sunny Acres,interpolation-live
way,177927507,,,,even,open2,Downtown - Sunny Acres,interpolation-live
way,177927516,,,,odd,open2,Non-Residential - A,interpolation-live
way,177927519,,,,even,openN,Onward Willow,interpolation-multinode
way,177927525,,,,odd,open2,Onward Willow,interpolation-live
way,177927531,,,,odd,open2,Downtown - Sunny Acres,interpolation-live
way,177927544,,,,even,open2,Onward Willow,interpolation-live
way,177927562,,,,odd,open2,West Willow Woods,interpolation-live
way,177927576,,,,even,openN,Downtown - Sunny Acres,interpolation-multinode
way,177927592,,,,odd,open2,June Avenue,interpolation-live
way,177927599,,,,even,open2,June Avenue,interpolation-live
way,177927603,,,,odd,open2,Exhibition Park,interpolation-live
way,177927606,,,,even,open2,Exhibition Park,interpolation-live
way,177927608,,,,odd,open2,June Avenue,interpolation-live
way,177927623,,,,odd,open2,Exhibition Park,interpolation-live
way,177927631,,,,even,open2,Downtown - Sunny Acres,interpolation-live
way,177927632,,,,even,open2,Exhibition Park,interpolation-live
way,177927647,,,,even,open2,Non-Residential - A,interpolation-live
way,177927648,,,,odd,open2,Downtown - Sunny Acres,interpolation-live
way,177927656,,,,even,open2,Downtown - Sunny Acres,interpolation-live
way,177927685,,,,even,openN,Downtown - Sunny Acres,interpolation-multinode
way,177927701,,,,even,open2,Downtown - Sunny Acres,interpolation-live
way,177927703,,,,even,open2,Non-Residential - A,interpolation-live
way,177927709,,,,even,open2,Downtown - Sunny Acres,interpolation-live
way,177927731,,,,even,open2,Onward Willow,interpolation-live
way,177927733,,,,even,open2,Onward Willow,interpolation-live
way,177927736,,,,odd,open2,Downtown - Sunny Acres,interpolation-live
way,177927745,,,,odd,open2,Onward Willow,interpolation-live
way,177927753,,,,odd,open2,Onward Willow,interpolation-live
way,177927764,,,,odd,open2,West Willow Woods,interpolation-live
way,177927774,,,,odd,open2,June Avenue,interpolation-live
way,177927787,,,,odd,open2,Onward Willow,interpolation-live
way,177927790,,,,even,open2,Onward Willow,interpolation-live
way,177927797,,,,odd,open2,Downtown - Sunny Acres,interpolation-live
way,177927798,,,,even,open2,Exhibition Park,interpolation-live
way,177927805,,,,odd,open2,Onward Willow,interpolation-live
way,177927808,,,,even,open2,Non-Residential - A,interpolation-live
way,177927809,,,,even,open2,Onward Willow,interpolation-live
way,177927830,,,,odd,open2,Downtown - Sunny Acres,interpolation-live
way,177927831,,,,odd,open2,Downtown - Sunny Acres,interpolation-live
way,177927832,,,,even,open2,June Avenue,interpolation-live
way,177927847,,,,even,open2,Non-Residential - A,interpolation-live
way,177927856,,,,even,open2,Downtown - Sunny Acres,interpolation-live
way,177927859,,,,odd,open2,Downtown - Sunny Acres,interpolation-live
way,177927867,,,,even,open2,Downtown - Sunny Acres,interpolation-live
way,177927879,,,,even,open2,Exhibition Park,interpolation-live
way,177927881,,,,odd,open2,June Avenue,interpolation-live
way,177927886,,,,even,open2,Onward Willow,interpolation-live
way,177927899,,,,even,open2,Exhibition Park,interpolation-live
way,177927916,,,,odd,open2,Non-Residential - A,interpolation-live
way,177927968,,,,even,open2,Downtown - Sunny Acres,interpolation-live
way,177927974,,,,odd,open2,Exhibition Park,interpolation-live
way,177928004,,,,even,openN,Onward Willow,interpolation-multinode
way,177928013,,,,even,open2,June Avenue,interpolation-live
way,177928025,,,,even,open2,Onward Willow,interpolation-live
way,177928028,,,,odd,open2,Exhibition Park,interpolation-live
way,177928032,,,,odd,open2,Exhibition Park,interpolation-live
way,177928039,,,,odd,open2,Parkwood Gardens,interpolation-live
way,177928046,,,,odd,open2,June Avenue,interpolation-live
way,177928049,,,,even,open2,Downtown - Sunny Acres,interpolation-live
way,177928057,,,,even,open2,Downtown - Sunny Acres,interpolation-live
way,177928067,,,,even,open2,Non-Residential - A,interpolation-live
way,177928072,,,,even,open2,Downtown - Sunny Acres,interpolation-live
way,177928077,,,,even,open2,Downtown - Sunny Acres,interpolation-live
way,177928078,,,,odd,open2,Downtown - Sunny Acres,interpolation-live
way,177928082,,,,even,open2,Waverley,interpolation-live
way,177928083,,,,even,open2,Downtown - Sunny Acres,interpolation-live
way,177928087,,,,odd,open2,June Avenue,interpolation-live
way,177928088,,,,even,open2,Exhibition Park,interpolation-live
way,177928095,,,,even,open2,Exhibition Park,interpolation-live
way,177928096,,,,even,open2,Exhibition Park,interpolation-live
way,177928102,,,,odd,open2,Downtown - Sunny Acres,interpolation-live
way,177928107,,,,odd,open2,West Willow Woods,interpolation-live
way,177928116,,,,odd,open2,Exhibition Park,interpolation-live
way,177928117,,,,even,open2,Non-Residential - A,interpolation-live
way,177928120,,,,odd,open2,Exhibition Park,interpolation-live
way,177928122,,,,odd,open2,Onward Willow,interpolation-live
way,177928127,,,,odd,open2,Downtown - Sunny Acres,interpolation-live
way,177928128,,,,even,open2,Onward Willow,interpolation-live
way,177928133,,,,odd,open2,Non-Residential - A,interpolation-live
way,177928153,,,,odd,open2,Exhibition Park,interpolation-live
way,177928159,,,,odd,open2,Downtown - Sunny Acres,interpolation-live
way,177928169,,,,even,open2,Downtown - Sunny Acres,interpolation-live
way,177928176,,,,odd,open2,June Avenue,interpolation-live
way,177928207,,,,odd,openN,Downtown - Sunny Acres,interpolation-multinode
way,177928213,,,,odd,openN,June Avenue,interpolation-multinode
way,177928244,,,,even,openN,Onward Willow,interpolation-multinode
way,177928246,,,,odd,openN,Downtown - Sunny Acres,interpolation-multinode
way,177928256,,,,even,openN,Non-Residential - A,interpolation-multinode
way,177928284,,,,even,openN,June Avenue,interpolation-multinode
